0.73982	0.71946	0.77218	0.63801
0.46493	0.75566	0.443	0.68778
0.39367	0.36199	0.36917	0.25792
0.68213	0.37557	0.67989	0.27149
0.70928	0.52036	0.70142	0.38009
0.27149	0.69683	0.21227	0.62443
0.43439	0.23077	0.40916	0.1267
0.46154	0.83258	0.44608	0.78281
0.33937	0.50679	0.29534	0.39819
0.11878	0.71041	0.030764	0.63801
0.91629	0.72851	0.96292	0.64253
0.26131	0.9095	0.21227	0.89593
0.75	0.93213	0.77833	0.89593
0.8009	0.36652	0.79679	0.23077
0.67534	0.29864	0.66143	0.16742
0.30543	0.23077	0.2738	0.1086
0.19344	0.51584	0.12306	0.40271
0.8552	0.55204	0.89216	0.42534
0.59389	0.72398	0.60298	0.62896
0.431	0.55204	0.39993	0.45249
0.58371	0.61086	0.57837	0.48416
0.54638	0.37104	0.51376	0.26697
